arrival_time,e2e_latency,finish_time,first_token_time,output_tokens,request_id,tpot,ttft
0.0,1.3933577573043294,1.3933577573043294,0.513600290985778,48,0,0.018718243964224498,0.513600290985778
0.0,0.7753449982847087,0.7753449982847087,0.513600290985778,15,1,0.018696050521352196,0.513600290985778
0.0,0.6632859102101065,0.6632859102101065,0.513600290985778,9,2,0.01871070240304107,0.513600290985778
0.0,1.5252325692563318,1.5252325692563318,0.513600290985778,55,3,0.018733931079084328,0.513600290985778
0.0,1.9800016283988953,1.9800016283988953,1.5438913302496076,25,4,0.018171262422886986,1.5438913302496076
0.0,1.9435597323463298,1.9435597323463298,1.5438913302496076,23,5,0.018166745549851013,1.5438913302496076
0.0,1.925386551360134,1.925386551360134,1.5438913302496076,22,6,0.01816643910050126,1.5438913302496076
0.0,1.8163419083575718,1.8163419083575718,1.5438913302496076,16,7,0.018163371873864284,1.5438913302496076
0.0,2.982560531469062,2.982560531469062,1.9986709853983484,55,8,0.01822017677908729,1.9986709853983484
0.0,2.2349763774545863,2.2349763774545863,1.9986709853983484,14,9,0.018177337850479838,1.9986709853983484
0.0,2.9089883374399506,2.9089883374399506,1.9986709853983484,51,10,0.018206347040832044,1.9986709853983484
0.0,2.982560531469062,2.982560531469062,1.9986709853983484,55,11,0.01822017677908729,1.9986709853983484
0.0,3.7869553263299167,3.7869553263299167,3.002116820483934,42,12,0.019142402581609333,3.002116820483934
0.0,3.2332200454548,3.2332200454548,3.002116820483934,13,13,0.0192586020809055,3.002116820483934
0.0,3.8442804743535817,3.8442804743535817,3.002116820483934,45,14,0.019140083042491988,3.002116820483934
0.0,3.6531859263195656,3.6531859263195656,3.002116820483934,35,15,0.019149091348106807,3.002116820483934
0.0,4.035562516364735,4.035562516364735,3.8638394873123616,10,16,0.01908033656137478,3.8638394873123616
0.0,4.01647751632845,4.01647751632845,3.8638394873123616,9,17,0.019079753627011087,3.8638394873123616
0.0,4.092838859360199,4.092838859360199,3.8638394873123616,13,18,0.019083281003986485,3.8638394873123616
0.0,4.245614320388995,4.245614320388995,3.8638394873123616,21,19,0.019088741653831676,3.8638394873123616
0.0,4.665609646297526,4.665609646297526,4.265172422397882,22,20,0.019068439233316376,4.265172422397882
0.0,5.009505533380434,5.009505533380434,4.265172422397882,40,21,0.019085464384168003,4.265172422397882
0.0,5.124167819332797,5.124167819332797,4.265172422397882,46,22,0.019088786598553675,4.265172422397882
0.0,4.41767608828377,4.41767608828377,4.265172422397882,9,23,0.019062958235736005,4.265172422397882
0.0,5.916339541494381,5.916339541494381,5.142771746322978,43,24,0.01841828083741434,5.142771746322978
0.0,5.495378692343365,5.495378692343365,5.142771746322978,20,25,0.01855826031686248,5.142771746322978
0.0,6.098016534524504,6.098016534524504,5.142771746322978,53,26,0.018370092080798574,5.142771746322978
0.0,6.0253165504545905,6.0253165504545905,5.142771746322978,49,27,0.018386350086075254,5.142771746322978
0.0,7.082191863679327,7.082191863679327,6.1173882115399465,52,28,0.01891771866939962,6.1173882115399465
0.0,6.892740931536537,6.892740931536537,6.1173882115399465,42,29,0.018911041951136347,6.1173882115399465
0.0,6.741397927573416,6.741397927573416,6.1173882115399465,34,30,0.01890938533434757,6.1173882115399465
0.0,6.514353059523273,6.514353059523273,6.1173882115399465,22,31,0.018903087999206036,6.1173882115399465
0.0,7.770040102361236,7.770040102361236,7.101768793654628,36,32,0.019093465963045935,7.101768793654628
0.0,7.942266549449414,7.942266549449414,7.101768793654628,45,33,0.01910222172260877,7.101768793654628
0.0,7.5598572283633985,7.5598572283633985,7.101768793654628,25,34,0.019087018112865433,7.101768793654628
0.0,8.210315878561232,8.210315878561232,7.101768793654628,59,35,0.019112880774251797,7.101768793654628
0.0,9.413665393658448,9.413665393658448,8.229845857596956,63,36,0.01909386348486277,8.229845857596956
0.0,8.363341871532612,8.363341871532612,8.229845857596956,8,37,0.01907085913366505,8.229845857596956
0.0,9.279828180617187,9.279828180617187,8.229845857596956,56,38,0.019090587691276927,8.229845857596956
0.0,9.337182914663572,9.337182914663572,8.229845857596956,59,39,0.019092018225286476,8.229845857596956
0.0,9.757817081757821,9.757817081757821,9.433232789626345,18,40,0.01909319365479271,9.433232789626345
0.0,10.407776470761746,10.407776470761746,9.433232789626345,52,41,0.019108699630105905,9.433232789626345
0.0,10.08263913571136,10.08263913571136,9.433232789626345,35,42,0.019100186649559286,9.433232789626345
0.0,9.9679766598274,9.9679766598274,9.433232789626345,29,43,0.01909799536432339,9.433232789626345
0.0,10.882786179659888,10.882786179659888,10.427201799757313,25,44,0.018982682495940633,10.427201799757313
0.0,10.730415197671391,10.730415197671391,10.427201799757313,17,45,0.01895083736962988,10.427201799757313
0.0,10.806572399684228,10.806572399684228,10.427201799757313,21,46,0.01896852999634575,10.427201799757313
0.0,11.474293925974052,11.474293925974052,10.427201799757313,56,47,0.019038038658486172,10.427201799757313
0.0,12.00233290786855,12.00233290786855,11.492966638004873,29,48,0.018191652495131296,11.492966638004873
0.0,11.729452323925216,11.729452323925216,11.492966638004873,14,49,0.01819120660925714,11.492966638004873
0.0,11.711120760941412,11.711120760941412,11.492966638004873,13,50,0.01817951024471161,11.492966638004873
0.0,12.056894614885096,12.056894614885096,11.492966638004873,32,51,0.01819122506065234,11.492966638004873
0.0,12.311202136974316,12.311202136974316,12.075520434882492,14,52,0.018129361699371096,12.075520434882492
0.0,12.601657759980299,12.601657759980299,12.075520434882492,30,53,0.01814266638268299,12.075520434882492
0.0,13.18317937903339,13.18317937903339,12.075520434882492,62,54,0.018158343346736043,12.075520434882492
0.0,12.601657759980299,12.601657759980299,12.075520434882492,30,55,0.01814266638268299,12.075520434882492
0.0,14.029033809958491,14.029033809958491,13.202100449998397,46,56,0.018376296888002092,13.202100449998397
0.0,13.624599795904942,13.624599795904942,13.202100449998397,24,57,0.01836953677854541,13.202100449998397
0.0,14.268400327826384,14.268400327826384,13.202100449998397,59,58,0.018384480652206672,13.202100449998397
0.0,13.367453881015535,13.367453881015535,13.202100449998397,10,59,0.018372603446348675,13.202100449998397
0.0,15.24892137903953,15.24892137903953,14.287025777855888,54,60,0.018148973607238522,14.287025777855888
0.0,14.940043936949223,14.940043936949223,14.287025777855888,37,61,0.0181393933081482,14.287025777855888
0.0,15.030918053002097,15.030918053002097,14.287025777855888,42,62,0.01814371402795631,14.287025777855888
0.0,14.540904888010118,14.540904888010118,14.287025777855888,15,63,0.018134222153873582,14.287025777855888
