request_id,arrival_time,first_token_time,finish_time,output_tokens,ttft,tpot,e2e_latency
0,0.012664419521369446,0.062384419521369444,0.4003844195213695,53,0.04972,0.0065000000000000014,0.38772000000000006
1,0.13895751235642623,0.4068844195213695,0.7058844195213696,47,0.2679269071649433,0.006500000000000002,0.5669269071649434
2,0.7035440167557225,1.3434390167557224,1.8829390167557225,84,0.6398949999999999,0.0065000000000000014,1.179395
3,0.7490202190590056,1.8882896299066774,2.155820287454417,51,1.1392694108476717,0.005350613150954793,1.4068000683954114
6,0.8219957574770496,1.8882896299066774,2.043457411284366,30,1.0662938724296278,0.0053506131509547875,1.2214616538073166
8,1.2712734287421104,1.8882896299066774,2.2093264189639648,61,0.617016201164567,0.00535061315095479,0.9380529902218544
5,0.8081400281543195,1.8882896299066774,2.444753397605975,105,1.0801496017523577,0.005350613150954787,1.6366133694516556
4,0.764145307662685,1.8882896299066774,2.278884389926377,74,1.1241443222439924,0.005350613150954791,1.5147390822636921
9,1.2745334130192438,1.8882896299066774,2.2307288715677838,65,0.6137562168874335,0.0053506131509547875,0.9561954585485399
7,1.21566038459825,1.8882896299066774,1.995301892925773,21,0.6726292453084273,0.005350613150954786,0.779641508327523
10,1.8734283835059864,2.6941383835059867,2.9151383835059868,35,0.8207100000000003,0.006500000000000002,1.0417100000000004
11,1.9579215175496212,3.1092682937604255,3.2587682937604256,24,1.1513467762108043,0.006500000000000008,1.3008467762108045
12,2.163105982490163,3.2645920237493904,3.4742463033521287,37,1.1014860412592276,0.005823729988964953,1.3111403208619659
13,2.16946340030239,3.2645920237493904,3.4218327334514442,28,1.0951286234470006,0.005823729988964957,1.2523693331490544
14,2.6322881337803974,3.2645920237493904,3.3519479735838646,16,0.632303889968993,0.0058237299889649504,0.7196598398034673
15,3.2864583490035306,3.4807463033521286,3.8447463033521285,57,0.19428795434859802,0.006499999999999998,0.5582879543485979
16,5.09456594184854,5.407015941848539,5.894515941848539,76,0.31244999999999923,0.006499999999999998,0.799949999999999
17,5.496092314591782,5.976027314591781,6.353027314591781,59,0.47993499999999933,0.006499999999999996,0.8569349999999991
18,5.977940417155206,6.359527314591781,6.723527314591781,57,0.38158689743657526,0.006499999999999998,0.7455868974365751
19,6.4085483878296285,6.730027314591781,7.107027314591781,59,0.3214789267621523,0.006499999999999996,0.6984789267621521
20,6.432002157958072,7.113527314591781,7.4710273145917805,56,0.6815251566337084,0.006499999999999999,1.0390251566337083
25,6.834754313241249,7.4765610240881655,7.825184722360427,64,0.6418067108469163,0.005533709496385099,0.9904304091191776
