request_id,arrival_time,first_token_time,finish_time,output_tokens,ttft,tpot,e2e_latency
0,0.012664419521369446,0.07759941952136945,0.5338994195213695,53,0.064935,0.008775000000000002,0.5212350000000001
1,0.13895751235642623,0.6236744195213695,1.0273244195213695,47,0.48471690716494326,0.008775000000000002,0.8883669071649434
2,0.7035440167557225,1.6126690009883529,2.2327211500583033,84,0.9091249842326303,0.007470507820119885,1.5291771333025808
3,0.7490202190590056,1.6126690009883529,1.9861943919943472,51,0.8636487819293472,0.007470507820119887,1.2371741729353416
4,0.764145307662685,1.6126690009883529,2.1580160718571046,74,0.8485236933256679,0.007470507820119887,1.3938707641944197
5,0.8081400281543195,1.6126690009883529,2.3896018142808213,105,0.8045289728340334,0.007470507820119889,1.5814617861265017
6,0.8219957574770496,1.6126690009883529,1.8293137277718297,30,0.7906732435113033,0.007470507820119889,1.00731797029478
7,1.21566038459825,3.0909562095037946,3.2354227645795737,21,1.8752958249055445,0.007223327753788955,2.019762379981324
8,1.2712734287421104,3.0909562095037946,3.5243558747311323,61,1.8196827807616842,0.0072233277537889625,2.2530824459890217
9,1.2745334130192438,3.0909562095037946,3.5532491857462882,65,1.8164227964845507,0.007223327753788963,2.278715772727044
10,1.8734283835059864,3.0909562095037946,3.3365493531326194,35,1.2175278259978082,0.007223327753788964,1.463120969626633
11,1.9579215175496212,3.0909562095037946,3.257092747840941,24,1.1330346919541734,0.007223327753788968,1.2991712302913196
12,2.163105982490163,3.0909562095037946,3.3509960086401973,37,0.9278502270136317,0.007223327753788965,1.1878900261500345
13,2.16946340030239,3.0909562095037946,3.2859860588560967,28,0.9214928092014048,0.0072233277537889695,1.116522658553707
14,2.6322881337803974,3.619728615965332,3.7425390834763643,16,0.9874404821849345,0.008187364500735494,1.110250949695967
15,3.2864583490035306,3.619728615965332,4.078221028006519,57,0.3332702669618013,0.008187364500735483,0.7917626790029884
16,5.09456594184854,5.48944094184854,6.14756594184854,76,0.39487499999999986,0.008775000000000002,1.053
17,5.496092314591782,6.674975778815983,7.149842919858641,59,1.1788834642242012,0.008187364500735485,1.6537506052668594
18,5.977940417155206,6.674975778815983,7.133468190857171,57,0.6970353616607774,0.008187364500735492,1.155527773701965
19,6.4085483878296285,7.647385504549018,8.066338514268779,59,1.23883711671939,0.0072233277537889695,1.6577901264391501
20,6.432002157958072,7.647385504549018,8.044668531007412,56,1.2153833465909463,0.007223327753788973,1.6126663730493398
21,6.453353949031802,7.647385504549018,7.979658581223311,47,1.194031555517216,0.007223327753788968,1.5263046321915086
22,6.469916191306303,7.647385504549018,8.326378313405181,95,1.1774693132427156,0.007223327753788963,1.8564621220988782
23,6.490272040054321,7.647385504549018,8.066338514268779,59,1.1571134644946977,0.0072233277537889695,1.576066474214458
24,6.717205055014379,7.647385504549018,8.441951557465805,111,0.9301804495346397,0.007223327753788965,1.724746502451426
25,6.834754313241249,7.647385504549018,8.102455153037724,64,0.8126311913077693,0.007223327753788974,1.2677008397964746
26,8.214330709914012,8.546576557465805,8.730851557465805,22,0.33224584755179265,0.008774999999999977,0.5165208475517922
27,8.684022123912147,8.823056557465804,9.121406557465804,35,0.13903443355365752,0.008774999999999977,0.43738443355365675
28,8.76565365245667,9.67608203807568,10.134574450116867,57,0.9104283856190101,0.008187364500735475,1.3689207976601967
29,8.795476019125067,9.67608203807568,10.16732390811981,61,0.8806060189506137,0.008187364500735494,1.3718478889947434
30,9.306301309355186,10.240384700597373,10.486005635619437,31,0.9340833912421864,0.008187364500735464,1.1797043262642504
31,9.88328070402288,10.240384700597373,10.71525184164003,59,0.35710399657449265,0.008187364500735485,0.8319711376171508
32,10.63133512014505,11.15122775294448,11.454160239471694,38,0.5198926327994311,0.008187364500735497,0.8228251193266445
33,10.633374292321308,11.15122775294448,11.470534968473164,40,0.5178534606231722,0.008187364500735464,0.8371606761518553
34,10.789184708868012,11.828077219045014,12.179474953919494,47,1.0388925101770017,0.007639081192923476,1.3902902450514816
35,10.968129790446353,11.828077219045014,12.164196791533648,45,0.8599474285986606,0.007639081192923508,1.196067001087295
36,11.157062942567286,11.828077219045014,12.164196791533648,45,0.6710142764777274,0.007639081192923508,1.0071338489663617
37,11.408848858241083,11.828077219045014,12.164196791533648,45,0.4192283608039311,0.007639081192923508,0.7553479332925654
38,11.71587995707789,13.032407113716443,13.69281809446507,85,1.3165271566385535,0.00786203548510269,1.9769381373871795
39,11.857477704976734,13.032407113716443,13.323302426665244,38,1.1749294087397093,0.007862035485102706,1.4658247216885094
40,12.009886129586329,13.032407113716443,13.787162520286302,97,1.0225209841301144,0.007862035485102689,1.7772763906999725
41,13.150409897730723,14.567806229927877,14.918920097473512,48,1.4173963321971534,0.007470507820119896,1.7685101997427886
42,13.274205356055932,14.567806229927877,14.769509941071114,28,1.2936008738719451,0.007470507820119886,1.495304585015182
43,13.63039715969489,14.567806229927877,14.776980448891234,29,0.9374090702329863,0.007470507820119884,1.146583289196343
44,13.633413565795259,14.567806229927877,14.844215019272312,38,0.9343926641326181,0.007470507820119868,1.2108014534770533
45,13.695124403118044,14.567806229927877,14.814332987991833,34,0.8726818268098331,0.007470507820119874,1.119208584873789
46,13.969353507009869,15.83145581823116,16.279591840882013,58,1.8621023112212907,0.007862035485102692,2.310238333872144
47,13.999394192631645,15.83145581823116,16.232419627971396,52,1.8320616255995148,0.007862035485102678,2.2330254353397514
48,14.375964185306877,15.83145581823116,15.996558563418315,22,1.4554916329242822,0.007862035485102649,1.6205943781114378
49,15.361813047522487,17.192561042083014,17.805799809921023,79,1.830747994560527,0.007862035485102682,2.443986762398536
50,15.441534730689552,17.192561042083014,18.08883308738472,115,1.7510263113934617,0.007862035485102692,2.6472983566951687
51,15.826516803568806,17.192561042083014,18.11241919384003,118,1.366044238514208,0.007862035485102696,2.2859023902712234
