arrival_rate,coloc_goodput,coloc_mean_ttft,coloc_p95_ttft,coloc_p99_e2e,coloc_p99_ttft,coloc_throughput,disagg_goodput,disagg_mean_ttft,disagg_p95_ttft,disagg_p99_e2e,disagg_p99_ttft,disagg_throughput,goodput_gain_pct
0.5,0.7,0.5376235615823237,1.669020059140908,2.760799838110906,2.334573520883602,0.596459830547302,0.87,0.31369469504904907,0.9968175444520139,1.836503452027082,1.2721442841358197,0.5967111344612753,24.285714285714295
1.0,0.616,0.6780138029675751,1.8773194060213454,2.807542898766115,2.4054939908107027,1.1902227580455145,0.832,0.37717012952655515,1.086880959915359,1.8484797209306327,1.3513527653004076,1.19187821007971,35.06493506493506
1.5,0.52,0.8133282306738383,1.9255482981363152,2.796502932547989,2.3530465534911174,1.7807791165296178,0.808,0.4368585456986313,1.1607426557216678,1.8711163963893704,1.4397919911502288,1.7855072122567033,55.38461538461539
2.0,0.458,0.8631953826610566,1.906744925421356,2.811230482611179,2.1380978581362493,2.370629678301248,0.768,0.49762536625144443,1.2752215715491857,1.9320368008396187,1.5150490052193037,2.3766769026450882,67.68558951965065
2.5,0.384,1.0242108055109818,2.192757534493776,3.179755296916656,2.525421564374433,2.9441557367369353,0.71,0.5604572559778808,1.3413482105068038,2.042291516532101,1.5773397423263817,2.960844890277459,84.89583333333331
3.0,0.336,1.0778883894974347,2.2517308372344758,3.1410016304872013,2.5031143082068565,3.510773038515895,0.666,0.5947667819719155,1.3493356365783042,2.017727969056371,1.5370649896855924,3.5417656762431813,98.21428571428571
3.5,0.288,1.1541584564506993,2.1052990124697164,2.8699184877604376,2.4770487663855083,4.08169774886299,0.692,0.6048428043591196,1.2584012361951216,1.8483725289120272,1.5542655323224033,4.1289312353398975,140.27777777777777
4.0,0.25,1.1940353345239842,2.184629966166812,3.0779582019848237,2.669260531053258,4.635227837833958,0.65,0.6432209160113544,1.3652400025784515,1.8833498538302562,1.5601800350536519,4.707722940583692,160.0
