batch_size,design,goodput,mean_e2e,mean_ttft,p95_ttft,p99_e2e,p99_ttft,throughput_req_s,throughput_tok_s
1,colocated,0.21875,5.500097335834653,5.212923637638596,10.283588696288643,10.989073441574583,10.744169048743206,2.891602494709924,56.29588606888383
2,colocated,0.3125,4.420364022196736,4.083853700285545,7.9321722700784445,8.574442555790302,8.247787564003374,3.7174810101830817,72.37470841700187
4,colocated,0.375,3.085601894164938,2.740269080713915,5.402690350194462,5.922545957835974,5.402690350194462,5.376527513888242,104.6742700360117
8,colocated,0.25,3.1615451039615436,2.805161172596854,4.891318255919032,5.447401220735628,4.891318255919032,5.874360764577325,114.3664611353648
1,disaggregated,0.21875,4.982645020236305,4.697356636183031,9.0556379496702,9.736189452473191,9.492331514220568,3.262720373380624,63.521087269254025
2,disaggregated,0.3125,3.7569675635713793,3.4201914285877137,6.460161863686516,7.091208938514464,6.764319569803774,4.4914081986733905,87.44210336792257
4,disaggregated,0.5,2.4490592425481736,2.1051691532338737,3.768053113773931,4.28677540136152,3.768053113773931,7.414139056389142,144.3440197540761
8,disaggregated,0.5,2.683950872178684,2.3303580522479024,3.7829646080499515,4.335411442967597,3.7829646080499515,7.38107568819257,143.7003173044991
