arrival_time,e2e_latency,finish_time,first_token_time,output_tokens,request_id,tpot,ttft
0.0,0.9407485129777342,0.9407485129777342,0.09308064298238605,48,0,0.018035486595645706,0.09308064298238605
0.0,0.3454919029318262,0.3454919029318262,0.09308064298238605,15,1,0.018029375710674294,0.09308064298238605
0.0,1.2592732369957957,1.2592732369957957,1.1112278099753894,9,2,0.018505678377550794,1.1112278099753894
0.0,2.1049874229938723,2.1049874229938723,1.1112278099753894,55,3,0.018402955796638573,1.1112278099753894
0.0,2.5840873270644806,2.5840873270644806,2.1508421280013863,25,4,0.018051883294295596,2.1508421280013863
0.0,2.548008693062002,2.548008693062002,2.1508421280013863,23,5,0.018053025684573433,2.1508421280013863
0.0,3.0033306880504824,3.0033306880504824,2.625035394070437,22,6,0.018014061618097394,2.625035394070437
0.0,2.8951608390489127,2.8951608390489127,2.625035394070437,16,7,0.01800836299856504,2.625035394070437
0.0,4.043314664013451,4.043314664013451,3.067666060029296,55,8,0.01806756674044731,3.067666060029296
0.0,3.3027219340438023,3.3027219340438023,3.067666060029296,14,9,0.01808122107803893,3.067666060029296
0.0,4.983746434125351,4.983746434125351,4.082008287019562,51,10,0.018034762942115777,4.082008287019562
0.0,5.05589631118346,5.05589631118346,4.082008287019562,55,11,0.018034963410442556,4.082008287019562
0.0,5.841686924337409,5.841686924337409,5.101774010196095,42,12,0.018046656442471075,5.101774010196095
0.0,5.318430011218879,5.318430011218879,5.101774010196095,13,13,0.01805466675189867,5.101774010196095
0.0,6.9025775862101,6.9025775862101,6.086816772352904,45,14,0.018540018496754452,6.086816772352904
0.0,6.717403793241829,6.717403793241829,6.086816772352904,35,15,0.01854667708496837,6.086816772352904
