arrival_time,e2e_latency,finish_time,first_token_time,output_tokens,request_id,tpot,ttft
0.0,0.8978710840747226,0.8978710840747226,0.04950250397087075,48,0,0.01805039532135855,0.04950250397087075
0.0,0.30208492797100917,0.30208492797100917,0.04950250397087075,15,1,0.018041601714295603,0.04950250397087075
0.0,1.0636952260392718,1.0636952260392718,0.916603804071201,9,2,0.01838642774600885,0.916603804071201
0.0,1.9098820790532045,1.9098820790532045,0.916603804071201,55,3,0.01839404212929636,0.916603804071201
0.0,2.3612515660352074,2.3612515660352074,1.927984942070907,25,4,0.018052775998512516,1.927984942070907
0.0,2.3251411740202457,2.3251411740202457,1.927984942070907,23,5,0.018052555997697214,1.927984942070907
0.0,2.758082212996669,2.758082212996669,2.379328550043283,22,6,0.018035888712066003,2.379328550043283
0.0,2.6499122630048078,2.6499122630048078,2.379328550043283,16,7,0.01803891419743498,2.379328550043283
0.0,3.7526312969857827,3.7526312969857827,2.776310397021007,55,8,0.01808001666601437,2.776310397021007
0.0,3.0110772150801495,3.0110772150801495,2.776310397021007,14,9,0.018058986004549436,2.776310397021007
0.0,4.672727084893268,4.672727084893268,3.7706605889834464,51,10,0.018041329918196423,3.7706605889834464
0.0,4.744936360919382,4.744936360919382,3.7706605889834464,55,11,0.018042143924739556,3.7706605889834464
0.0,5.503726094902959,5.503726094902959,4.763084532925859,42,12,0.018064428340904867,4.763084532925859
0.0,4.979901207902003,4.979901207902003,4.763084532925859,13,13,0.018068056248012,4.763084532925859
0.0,6.338440661987988,6.338440661987988,5.522584024904063,45,14,0.018542196297361938,5.522584024904063
0.0,6.1527909630094655,6.1527909630094655,5.522584024904063,35,15,0.01853549817957066,5.522584024904063
