arrival_time,e2e_latency,finish_time,first_token_time,output_tokens,request_id,tpot,ttft
0.0,0.9099868462071754,0.9099868462071754,0.1856628090608865,48,0,0.015411149726516785,0.1856628090608865
0.0,1.1410120981163345,1.1410120981163345,0.9257553011993878,15,1,0.015375485494067627,0.9257553011993878
0.0,1.2797190241399221,1.2797190241399221,1.1568135241395794,9,2,0.01536318750004284,1.1568135241395794
0.0,2.1373094191076234,2.1373094191076234,1.2958003761596046,55,3,0.015583500795333681,1.2958003761596046
0.0,2.522514423006214,2.522514423006214,2.1531418520607986,25,4,0.015390523789392319,2.1531418520607986
0.0,2.876998558989726,2.876998558989726,2.5383245320408605,23,5,0.01539427395222116,2.5383245320408605
0.0,3.215768000052776,3.215768000052776,2.8927892280044034,22,6,0.01537994152611299,2.8927892280044034
0.0,3.4622110522468574,3.4622110522468574,3.2315740630729124,16,7,0.015375799278263002,3.2315740630729124
0.0,4.310577494092286,4.310577494092286,3.4779875502572395,55,8,0.015418332293241596,3.4779875502572395
0.0,4.526678488065954,4.526678488065954,4.326412410126068,14,9,0.015405082918452816,4.326412410126068
0.0,5.3132576092612,5.3132576092612,4.542462107085157,51,10,0.015415910043520853,4.542462107085157
0.0,6.1752428112667985,6.1752428112667985,5.329042419267353,55,11,0.015670377629619366,5.329042419267353
0.0,6.8235233154846355,6.8235233154846355,6.191096446244046,42,12,0.015425045591233888,6.191096446244046
0.0,7.0238506975001656,7.0238506975001656,6.839313454460353,13,13,0.015378103586651074,6.839313454460353
0.0,7.718965171719901,7.718965171719901,7.039635797496885,45,14,0.015439303959614004,7.039635797496885
0.0,8.270504080748651,8.270504080748651,7.7350959097384475,35,15,0.01574729914735893,7.7350959097384475
0.0,8.42806767980801,8.42806767980801,8.286622469779104,10,16,0.01571613444765616,8.286622469779104
0.0,8.566863801737782,8.566863801737782,8.443858849816024,9,17,0.015375618990219664,8.443858849816024
0.0,8.771595216705464,8.771595216705464,8.582972525735386,13,18,0.015718557580839843,8.582972525735386
0.0,9.102423543750774,9.102423543750774,8.78772850765381,21,19,0.0157347518048482,8.78772850765381
0.0,9.448972322745249,9.448972322745249,9.118553218722809,22,20,0.015734243048687598,9.118553218722809
0.0,10.066066052473616,10.066066052473616,9.464747157762758,40,21,0.015418433197714293,9.464747157762758
0.0,10.782284826389514,10.782284826389514,10.082021192472894,46,22,0.015561414087036004,10.082021192472894
0.0,10.920992939383723,10.920992939383723,10.798092912358698,9,23,0.015362503378128167,10.798092912358698
0.0,11.58446881029522,11.58446881029522,10.936775907350238,43,24,0.015421259593928144,10.936775907350238
0.0,11.892746613244526,11.892746613244526,11.600220933265518,20,25,0.015396088419947773,11.600220933265518
0.0,12.71069432090735,12.71069432090735,11.908537235227413,53,26,0.015426097801537253,11.908537235227413
0.0,13.467469822848216,13.467469822848216,12.726478742901236,49,27,0.01543731416556208,12.726478742901236
0.0,14.280214589613024,14.280214589613024,13.483463274838869,52,28,0.015622574799493248,13.483463274838869
