arrival_rate,batch_size,count,design,elapsed_s,goodput,mean_e2e,mean_tpot,mean_ttft,num_requests,p50_ttft,p95_e2e,p95_tpot,p95_ttft,p99_e2e,p99_ttft,prompt_tokens_max,prompt_tokens_mean,prompt_tokens_min,throughput_req_s,throughput_tok_s
0.0,4,32,colocated,8.757631540298462,0.25,5.513466440221055,0.024344484806487748,4.773817402565329,32,4.910807683126769,10.329683103807618,0.025093333840486547,9.42822454420384,10.607375995261012,9.42822454420384,512,138.8125,7,2.995251957504125,94.35043666137994
0.0,8,32,colocated,7.188467025756836,0.25,4.681014012225023,0.02505627270190848,3.9175208055909017,32,4.000177289656131,8.292434815340386,0.02568798643620134,7.064699127915082,8.351472968005634,7.064699127915082,512,138.8125,7,3.828068177674092,120.58414759673389
0.5,4,32,colocated,9.905933856964111,0.6875,3.1234648463426775,0.024358549055371315,2.372151225141125,32,1.296844174025555,9.19954761268617,0.02499333418462821,8.414076335923042,10.772928157499308,9.938591434126682,512,138.8125,7,0.4821908110635071,15.384900565495023
0.5,8,32,colocated,7.636631011962891,0.28125,8.464672937848153,0.02511074339270762,7.689354992861697,32,8.244154187773052,15.549631502939693,0.025647010226098034,14.704223103681592,17.72784597796249,16.78656249019673,512,138.8125,7,0.479421119834862,15.296530104731067
1.0,4,32,colocated,9.922579765319824,0.78125,2.084853772962082,0.024363249937729467,1.3333561650739971,32,0.8347655293267566,5.176931844257783,0.02499807368176564,4.443411015036627,6.063890048172037,5.185119524806078,512,138.8125,7,0.9373136237419472,29.906162807516502
1.0,8,32,colocated,7.662824630737305,0.34375,5.029157417648674,0.025142008188812983,4.252683376434324,32,4.512998977795849,8.762089520478877,0.025653749878468572,7.822140071246109,9.811029908830275,8.802324278420917,512,138.8125,7,0.9269880377787686,29.576712080378837
2.0,4,32,colocated,9.925058126449585,0.90625,1.5648862215874373,0.024361152845516203,0.8134500630433081,32,0.5727816765948432,3.0541933773669703,0.024976575313678667,2.453935930661796,3.8054704249463978,2.8054548215614825,512,138.8125,7,1.7753553337439179,56.64493111726688
2.0,8,32,colocated,7.655970811843872,0.375,3.3096015929824896,0.02514438615466991,2.533333130886984,32,2.6431398326489846,5.436200180221379,0.025664973043785445,4.379120205864096,5.954712511061213,4.812949052391763,512,138.8125,7,1.7382309878649285,55.46043245656537
3.0,4,32,colocated,9.941789150238037,0.90625,1.81020084559203,0.024437817167883548,1.0565397759622868,32,0.939466674133743,2.783532354023027,0.025443822892328376,2.1578722975047917,3.3913761875230897,2.2904581308199745,512,138.8125,7,2.502850274314054,79.85656656483279
3.0,8,32,colocated,7.663052558898926,0.5,2.737791220970224,0.025156499989978248,1.960988093543722,32,2.045706866257817,4.412343638796321,0.025636581397948714,3.233869615797256,4.671313880240715,3.4808061786037805,512,138.8125,7,2.454285369967962,78.30704258554029
