arrival_rate,batch_size,count,design,elapsed_s,goodput,mean_e2e,mean_tpot,mean_ttft,num_requests,p50_ttft,p95_e2e,p95_tpot,p95_ttft,p99_e2e,p99_ttft,prompt_tokens_max,prompt_tokens_mean,prompt_tokens_min,throughput_req_s,throughput_tok_s
0.0,1,64,colocated,35.918113470077515,0.0625,17.79763516224284,0.015556683329311743,17.296871643382474,64,16.891238963027718,34.03316835610021,0.015832431733763034,33.31386032716546,35.51678654776711,35.036098224422894,512,129.140625,7,1.7940043205609053,59.51048707110628
0.0,2,64,colocated,28.89804768562317,0.0625,14.331657909332534,0.01826133096905531,13.744315355668732,64,13.142853728379123,27.53864498597395,0.01869316743727217,26.82699265098781,28.419754780051296,27.98720888083335,512,129.140625,7,2.227903740350373,73.90374438693502
0.0,4,64,colocated,19.04422879219055,0.1875,9.542232777093886,0.018737846271525437,8.940299040164973,64,8.484238829783862,18.181931610504396,0.01929116528068941,17.80547652828972,18.796681537710246,17.97228879237082,512,129.140625,7,3.3801904622933776,112.12725549138813
0.0,8,64,colocated,13.993094444274902,0.125,7.706137215518538,0.019087324618522243,7.09106208942103,64,7.167320785258198,13.594076228237826,0.019839529624732677,12.870014230371453,13.858784495139844,12.870014230371453,512,129.140625,7,4.598969616515933,152.55644524786447
0.0,16,64,colocated,10.737779378890991,0.25,6.586090527200213,0.0217955162608582,5.884264612672268,64,6.153377413749695,10.353796239150686,0.02281764077755118,9.4949242201983,10.643012898580636,9.4949242201983,512,129.140625,7,5.992599187618217,198.78575117677306
0.0,1,64,disaggregated,46.36282563209534,0.0625,16.512268636590306,0.015483855775875013,16.013596647794657,64,15.642946653184481,31.52783837781753,0.015750205812390262,30.813300761481514,32.954491066435004,32.47752055035089,512,129.140625,7,1.9335392998598842,64.1391239625396
0.0,2,64,disaggregated,34.57466387748718,0.0625,12.679883974045879,0.018254925281879608,12.092304325962687,64,11.62892139973701,24.442103314193076,0.018572868567968148,23.731548980169457,25.300812194409662,24.867932667199057,512,129.140625,7,2.499226288129458,82.90402202654435
0.0,4,64,disaggregated,22.17757225036621,0.1875,7.590432015545957,0.01867027415775291,6.989677100013068,64,6.54752116909367,14.451381638328893,0.019115530258510104,14.075609826543944,15.06303102810518,14.23847970861243,512,129.140625,7,4.210410185305514,139.6672003656813
0.0,8,64,disaggregated,15.608248472213745,0.25,5.088294166679589,0.018887408078940862,4.47901707917481,64,4.350947127881227,9.03762445061293,0.019552624697416005,8.316815884259995,9.301011151051497,8.316815884259995,512,129.140625,7,6.8389827237111165,226.8618800381047
0.0,16,64,disaggregated,11.631388902664185,0.25,5.369671325251147,0.0215700991637685,4.673334319100832,64,4.798226724029519,8.02134722091141,0.022554817056655775,7.169108339352533,8.308701307990704,7.169108339352533,512,129.140625,7,7.669028874784682,254.3960672057481
